Freq,Intensity
224.300717586,-124591325.89113826
224.301831167,77831570.86877386
224.302944748,50648106.20416766
224.304058329,-313098972.9955971
224.305171911,41407122.29977819
224.306285492,263602450.1399516
224.307399073,99206703.57373923
224.308512654,-81215172.25322925
224.309626235,-299956224.34610903
224.310739816,-208668067.1739998
224.311853397,89071163.408399
224.312966978,161696172.02501157
224.314080559,-22687141.9108806
224.31519414,121073453.75524203
224.316307721,24037207.667756952
224.317421302,106459472.63400097
224.318534883,245811879.71812475
224.319648464,108483898.17841528
224.320762046,-17346134.13194989
224.321875627,-46620237.2823729
224.322989208,-75259373.47290652
224.324102789,52826002.07855163
224.32521637,175447849.31201878
224.326329951,401985042.0737402
224.327443532,172675718.55444407
224.328557113,13646863.242052594
224.329670694,242361497.2170804
224.330784275,281472964.39069194
224.331897856,239613874.2795582
224.333011437,-24429992.415149137
224.334125018,-169714386.36252663
224.335238599,87692643.51866782
224.33635218,297120688.51887155
224.337465762,221223667.94356492
224.338579343,16686551.275474723
224.339692924,-184592502.01779804
224.340806505,-72270465.15455832
224.341920086,259577513.02496502
224.343033667,220046737.37286085
224.344147248,81749113.1344183
224.345260829,-188332536.18923983
224.34637441,-247784229.5789831
224.347487991,-11979802.683831435
224.348601572,356793397.0203332
224.349715153,186752856.65820768
224.350828734,232940785.8282593
224.351942315,43363433.582698695
224.353055896,15427649.09643701
224.354169478,-285719552.4523493
224.355283059,-380063380.81598055
224.35639664,-364381082.4150741
224.357510221,-257186816.93461588
224.358623802,-67219074.35713254
224.359737383,178853942.51283383
224.360850964,23778149.47083635
224.361964545,73994280.40165831
224.363078126,256120206.64250103
224.364191707,217490635.1326958
224.365305288,-117029373.63919954
224.366418869,-149241035.65428478
224.36753245,120382064.39504047
224.368646031,346549542.08027583
224.369759612,-43487796.02880139
224.370873194,-120773996.61306457
224.371986775,13887384.569675816
224.373100356,-21279871.564466145
224.374213937,26852187.928859778
224.375327518,247627572.1662781
224.376441099,341542190.3507606
224.37755468,229347428.81494975
224.378668261,-205738395.875041
224.379781842,-124359797.65733905
224.380895423,-120494353.41883743
224.382009004,-4362235.014805743
224.383122585,62736134.902430356
224.384236166,-251218828.46908304
224.385349747,-149302164.9412198
224.386463328,-57755506.89759294
224.38757691,113437309.42369404
224.388690491,169548110.92530918
224.389804072,53981978.46481117
224.390917653,33797211.01176504
224.392031234,237921471.50933388
224.393144815,364830975.3304979
224.394258396,156498331.90414
